lot_number,conditioning_count,conditioning_surface,current_experiment_key,current_wafer,next_experiment_key,next_wafer,current_mean_si_etch,current_std_si_etch,current_cv_si_etch,next_actual_mean_si_etch,CL,LCL,UCL,current_spc_alarm,next_spc_violation,next_first_spc_alarm,first_spc_alarm_wafer,pre_alarm_eligible,current_EpdIntensity_mean,current_ForeLinePressure_mean,current_ForeLinePressure_min,current_ForeLinePressure_max,current_Gas1Flow_mean,current_Gas1Flow_max,current_Gas2Flow_mean,current_Gas2Flow_std,current_Gas2Flow_min,current_Gas2Flow_max,current_Gas4Flow_mean,current_Gas4Flow_max,current_Gas5Flow_max,current_Gas7Flow_mean,current_Gas7Flow_std,current_Gas7Flow_min,current_Gas7Flow_max,current_Heater1Temp_mean,current_Heater2Temp_mean,current_Heater2Temp_std,current_Heater3Temp_mean,current_Heater3Temp_std,current_Heater3Temp_min,current_Heater3Temp_max,current_Heater4Temp_mean,current_Heater4Temp_std,current_HeliumBPFlow_mean,current_HeliumBPFlow_std,current_HeliumBPFlow_min,current_HeliumBPFlow_max,current_HeliumBPPressure_mean,current_HeliumBPPressure_min,current_HeliumBPPressure_max,current_PlatenDcBias_mean,current_PlatenDcBias_std,current_PlatenDcBias_min,current_PlatenDcBias_max,current_PlatenRFLoadCapacitor_mean,current_PlatenRFLoadCapacitor_std,current_PlatenRFLoadCapacitor_min,current_PlatenRFLoadCapacitor_max,current_PlatenRFLoadPower_max,current_PlatenRFPeakToPeak_mean,current_PlatenRFPeakToPeak_max,current_PlatenRFReflectedPower_mean,current_PlatenRFReflectedPower_std,current_PlatenRFReflectedPower_max,current_PlatenRFTuningCapacitor_mean,current_PlatenRFTuningCapacitor_std,current_PlatenRFTuningCapacitor_min,current_PlatenRFTuningCapacitor_max,current_Pressure_mean,current_Pressure_min,current_Pressure_max,current_SourceRF2PeakToPeak_mean,current_SourceRF2PeakToPeak_max,current_SourceRFLoadPower_max,current_SourceRFPeakToPeak_max,current_SourceRFReflectedPower_mean,current_SourceRFReflectedPower_std,current_moriInnerCurrent_max
1,3,Chuck,2024-07-02_03,3,2024-07-02_04,4,44.149623595505616,3.603756541381583,0.0816259856346417,43.90529550561798,44.15916704119851,43.62672794196607,44.69160614043095,0,0,0,5.0,1,0.1230000033974647,126.95352162571734,20.14221572875977,157.17031860351562,7.186208807923242,200.0,3.977859594361541,0.1225004309165457,3.369999885559082,4.28000020980835,71.36342758812357,300.0,600.010009765625,2.045423429894161,0.0428763485453345,1.8799999952316284,2.150000095367432,1371.0129010688352,54.417831722831664,0.1719172136168051,10.155959408357395,0.049650953744501,10.100000381469728,10.199999809265137,60.00455773027266,0.0843082353993663,1.6764453597892277,0.4490773665665604,0.1379436701536178,9.966124534606934,14.374781262294755,0.0042725913226604,14.993743896484377,2.6535594920800727,13.896962897306446,-44.3739128112793,34.699546813964844,86.55485396286801,14.097557822634728,7.608264446258545,93.24320220947266,80.33997344970703,523.826398219187,982.6883544921876,3.1433829762739127,7.697233407552694,225.13504028320312,28.59905403990139,3.954785388163069,24.24390411376953,50.132755279541016,0.0406221124236875,0.0006000000284984,0.0724000036716461,0.0822411311895325,53.86516952514648,2804.8037109375,3362.22412109375,138.2368000484395,176.07123930907565,10.026795387268066
1,3,Chuck,2024-07-02_04,4,2024-07-02_05,5,43.90529550561798,3.5522596776850137,0.0809073173697345,43.42659101123596,44.15916704119851,43.62672794196607,44.69160614043095,0,1,1,5.0,1,0.1230000033974647,126.69260565567134,20.44740104675293,156.86514282226562,7.2275700649463985,200.0,3.991478313473066,0.1266603918374114,3.359999895095825,4.289999961853027,71.41886954508323,300.010009765625,600.010009765625,2.0520603166274154,0.0374112595466631,1.919999957084656,2.140000104904175,1371.011854204061,54.43224515994218,0.1796083701198364,10.199999809265137,0.0,10.199999809265137,10.199999809265137,60.003356697451416,0.0865100735373743,1.615242167265554,0.4262554614887124,0.1452681124210357,9.723196983337402,14.374704564354504,0.0,14.993133544921877,3.4489863286724742,12.806949850260407,-95.919677734375,35.46250915527344,86.35268365106914,14.03746953529123,6.933805465698242,92.7243881225586,80.15686798095703,526.4545095553573,980.9030151367188,3.213466527177383,7.675505811409587,221.79327392578125,28.662895691369105,3.917933630626661,24.23474884033203,50.06866836547852,0.040581182255041,0.0006000000284984,0.0724999979138374,0.0491566988443058,54.93331527709961,2806.64990234375,3360.087890625,135.95313762347487,176.0271827279295,10.022767066955566
1,3,Chuck,2024-07-02_05,5,2024-07-02_06,6,43.42659101123596,3.509060637272411,0.0808044231785197,43.584064044943815,44.15916704119851,43.62672794196607,44.69160614043095,1,1,0,5.0,0,0.1230000033974647,124.94266646034144,20.44740104675293,156.55995178222656,7.152380231108229,200.0,4.059784738348064,0.1091082971332295,3.660000085830689,4.340000152587891,70.36819557242633,300.0,600.010009765625,2.056531184655092,0.0375876793377622,1.940000057220459,2.190000057220459,1371.014762920058,54.412735260639,0.2173023841532962,10.197877331890432,0.0198961026902722,10.100000381469728,10.300000190734863,60.00788324192989,0.0832948761706469,1.6145042939040428,0.4423443082398754,0.1391644030809402,10.022278785705566,14.384122248428374,0.0048829615116119,14.993743896484377,2.465549480271672,12.319752942936304,-85.26871490478516,40.162357330322266,84.49049533997578,18.519005259895152,0.0,92.94412231445312,80.20264434814453,515.2810932712312,981.8643798828124,3.388887075525457,8.06046530712927,222.20526123046875,28.648053325400923,3.909125644983802,24.26526641845703,50.065616607666016,0.0403852936821417,0.0006000000284984,0.065600000321865,0.0786559508018887,54.780723571777344,2804.6357421875,3361.766357421875,139.7947628842006,185.69383878949228,10.020752906799316
1,3,Chuck,2024-07-02_08,8,2024-07-02_09,9,43.09692808988764,3.477713183714158,0.0806951524818813,43.339929213483146,44.15916704119851,43.62672794196607,44.69160614043095,1,1,0,5.0,0,0.1230000033974647,124.838933172625,20.14221572875977,156.25477600097656,7.113511236391854,200.0,4.082498505666373,0.0983170409064907,3.5199999809265137,4.369999885559082,70.43594865679623,300.010009765625,600.02001953125,2.0187022251169053,0.0312262770521827,1.8899999856948853,2.119999885559082,1371.0162786202693,54.40539704734011,0.2415476503203535,10.173195843265734,0.0453157346311883,10.100000381469728,10.300000190734863,60.0018493381683,0.0820542271233547,1.6182242562783131,0.4261354761289155,0.1330607086420059,9.75859832763672,14.384275117986189,0.0097659230232238,14.993133544921877,3.180078653945136,9.974507364394675,-66.37776184082031,33.845027923583984,84.43426906691131,18.4742469890502,0.0,92.6419906616211,79.927978515625,517.4325787328531,981.7957153320312,3.3357526698325386,7.778438055248354,224.53993225097656,28.698405199299582,3.864372774390004,24.23780059814453,49.96490478515625,0.040376439751692,0.0006000000284984,0.069300003349781,0.1132645708203243,56.61183547973633,2804.8037109375,3353.83154296875,139.73749220896943,186.2201078194164,10.016724586486816
1,3,Chuck,2024-07-02_09,9,2024-07-02_10,10,43.339929213483146,3.4895088394683547,0.0805148716851794,43.28435730337079,44.15916704119851,43.62672794196607,44.69160614043095,1,1,0,5.0,0,0.1230000033974647,126.95549475022914,20.14221572875977,156.86514282226562,7.186266182301519,200.0,4.064054244988066,0.1026836094282809,3.5799999237060547,4.349999904632568,71.42251036118186,300.0,600.030029296875,2.0772950798364898,0.0408516804526583,1.909999966621399,2.190000057220459,1371.012073453385,54.41333924703075,0.2498398507108354,10.121442033270592,0.0432415070523441,10.0,10.300000190734863,60.01417096573412,0.0820532928616177,1.58673647472558,0.430235637875607,0.1330607086420059,9.9002046585083,14.374600360116068,0.0054933317005634,14.993743896484377,2.603324759395785,9.74895020038958,-66.19464874267578,32.04443359375,86.10614861166925,13.945964928022072,7.300027370452881,92.57179260253906,79.8822021484375,527.7124635763397,983.2377319335938,3.2844629218607904,7.487761861836691,223.303939819336,28.76758846969276,3.849457099760841,24.23474884033203,50.07477188110352,0.0406440537477337,0.0006000000284984,0.0783000066876411,0.0637447618072002,52.949615478515625,2805.642822265625,3358.104248046875,140.025692523258,177.41396361698816,10.024781227111816
2,1,Chuck,2024-07-05_03,3,2024-07-05_04,4,43.95148597898877,3.547390219150668,0.0807114967818497,43.42695056179775,44.12283540123596,43.59039630200352,44.6552745004684,0,1,1,4.0,1,0.1230000033974647,126.90032331327455,20.752586364746094,156.86514282226562,7.215007707952746,200.0,4.016929499802679,0.1262108104959558,3.5999999046325684,4.380000114440918,71.35357556117668,300.010009765625,600.010009765625,2.045220163039585,0.0404023567291944,1.919999957084656,2.1600000858306885,1371.013917143469,54.02975041630601,0.2241475532244274,10.131783384082864,0.0465702776094042,10.100000381469728,10.199999809265137,60.00098519285606,0.085729324226178,1.449203053170951,0.4122718306018531,0.1318399608135223,9.717093467712402,14.374761711063757,0.0,14.993743896484377,3.228542497938584,13.969162771693917,-31.8308048248291,35.34043502807617,86.3343234839056,13.993451940251765,7.818841934204102,92.92581176757812,80.24842071533203,522.6311076275562,981.2463989257812,3.236052290233862,7.843154389369266,222.5257110595703,28.58739645898911,3.94044181649956,24.23780059814453,50.12360000610352,0.0405769938277353,0.0006000000284984,0.0725999996066093,0.1138217281039619,54.62813186645508,2806.146484375,3367.107177734375,137.88362378913888,178.27451964805985,10.018738746643066
2,1,Chuck,2024-07-05_04,4,2024-07-05_05,5,43.42695056179775,3.466730713088856,0.0798290155822846,43.54600561797753,44.12283540123596,43.59039630200352,44.6552745004684,1,1,0,4.0,0,0.1230000033974647,125.16160760235252,20.44740104675293,156.86514282226562,7.099742269243993,200.0,3.982489413388069,0.1191656190991824,3.549999952316284,4.300000190734863,70.43356274243042,300.010009765625,600.02001953125,2.0499484090460944,0.0392555995946283,1.8899999856948853,2.1600000858306885,1371.0153388861384,54.006337363044736,0.2238562806847227,10.18908416523653,0.0311881677755119,10.100000381469728,10.199999809265137,60.00087907142246,0.0834992710193201,1.5067659976122378,0.4145907091302573,0.1245155185461044,9.525437355041504,14.38850865611584,0.0061037018895149,14.994964599609377,3.0620392052747034,13.008950568346547,-83.37657165527344,40.4065055847168,84.38052596828888,18.478574366844803,0.0,92.7091293334961,79.9737548828125,515.8378598413879,982.82568359375,3.3999775623278032,8.09242695750964,227.14926147460932,28.614467211388472,3.936366374451023,24.23474884033203,49.94354248046875,0.0403566400424067,0.0006000000284984,0.0658000037074089,0.1588850235346232,56.30664825439453,2805.978515625,3371.22705078125,142.03357044098647,186.57397204023204,10.030823707580566
2,1,Chuck,2024-07-05_05,5,2024-07-05_06,6,43.54600561797753,3.4666253747622258,0.0796083435338341,43.41621348314607,44.12283540123596,43.59039630200352,44.6552745004684,1,1,0,4.0,0,0.1230000033974647,126.87240827916987,20.752586364746094,156.86514282226562,7.245540498839339,200.0,3.961087184059536,0.1281813547861304,3.3399999141693115,4.340000152587891,71.28298731959329,300.010009765625,600.030029296875,2.0633507350205567,0.0381057145466935,1.9299999475479128,2.180000066757202,1371.0114539322356,53.99950754807698,0.2123274570820197,10.200923742570986,0.0095691290698663,10.199999809265137,10.300000190734863,60.01080972538165,0.0723051874343937,1.4029555295040177,0.4087697739027263,0.1293984800577163,9.691457748413086,14.374809080456629,0.0079348124563694,14.993743896484377,3.581427453443165,12.006277046282449,-49.287391662597656,34.02813720703125,86.01150878657184,13.97947892089522,7.525864601135254,92.55348205566406,80.20264434814453,526.2576250241359,984.405029296875,3.3279602791188148,7.692523325623361,223.25816345214844,28.71449897514698,3.9136910134737626,24.26221466064453,50.114444732666016,0.0405977514397406,0.0006000000284984,0.0689999982714653,0.1797556159016826,56.30664825439453,2806.314208984375,3370.61669921875,136.71664554546814,176.8454018281467,10.018738746643066
2,1,Chuck,2024-07-05_06,6,2024-07-05_07,7,43.41621348314607,3.452597133719872,0.0795232208598787,43.29778764044944,44.12283540123596,43.59039630200352,44.6552745004684,1,1,0,4.0,0,0.1230000033974647,126.72127247825932,20.44740104675293,156.86514282226562,7.283369256282747,200.0,3.9773021510170894,0.1294632844375981,3.4800000190734863,4.289999961853027,71.55311657186031,300.010009765625,600.02001953125,2.060505034852329,0.0401336624109801,1.899999976158142,2.180000066757202,1371.0179814420042,54.01145655329792,0.2330603959740829,10.197689998028716,0.0150237840994109,10.100000381469728,10.199999809265137,60.001939977393874,0.0799674739664703,1.4346553014036616,0.4130684343170808,0.1293984800577163,9.768364906311035,14.37474967948209,0.0067140720784664,14.993133544921877,3.128170717742797,10.882616815718563,-35.6456184387207,35.6456184387207,85.97323900257436,13.952922533601807,7.55943489074707,92.49244689941406,79.927978515625,526.2011808507583,980.697021484375,3.266956162046094,7.578408419721608,223.62437438964844,28.74788228673204,3.862639868980321,24.26831817626953,49.94354248046875,0.0405944253251396,0.0006000000284984,0.0754999965429306,0.1005221602730946,56.91701889038086,2806.146484375,3370.769287109375,140.54926095527293,177.90912902068806,10.034852027893066
2,1,Chuck,2024-07-05_07,7,2024-07-05_08,8,43.29778764044944,3.45002615253,0.0796813495687002,42.96067191011236,44.12283540123596,43.59039630200352,44.6552745004684,1,1,0,4.0,0,0.1230000033974647,126.78527970485844,20.752586364746094,156.55995178222656,7.3040868496516,200.0,3.896630749982946,0.1154980048693144,3.450000047683716,4.210000038146973,71.25034489458777,300.010009765625,600.02001953125,2.065811469219338,0.0390933664068224,1.919999957084656,2.1700000762939453,1371.0137324026264,54.010101417045725,0.2533257289275504,10.172158893306769,0.0468446515527777,10.100000381469728,10.300000190734863,60.00095460361285,0.0693396069904626,1.367008540179313,0.3986360129181197,0.1293984800577163,9.444868087768556,14.374889909819544,0.0085451826453208,14.993133544921877,2.922802860787512,10.469640524307389,-39.03317260742188,31.617176055908203,85.95713280838454,13.955178311764817,6.61336088180542,92.36731719970705,79.927978515625,525.1901513403072,982.9630126953124,3.274809006856273,7.5906654596495295,222.89193725585932,28.76171291751938,3.881831678228012,24.23780059814453,50.08087539672852,0.0405567597422085,0.0006000000284984,0.0763000026345253,0.1425826269771856,55.08591079711914,2805.642822265625,3375.34716796875,139.96885477410746,177.66964103088503,10.020752906799316
