model,feature_set,evaluation_set,n,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
Logistic,History+Process,All_pairs,56,0.6428571428571429,0.7419354838709677,0.6571428571428571,0.696969696969697,0.725170068027211,13,8,12,23
Logistic,History-only,All_pairs,56,0.8214285714285714,0.8787878787878788,0.8285714285714286,0.8529411764705882,0.9210884353741497,17,4,6,29
Naive,History-only,All_pairs,56,0.8214285714285714,0.9629629629629629,0.7428571428571429,0.8387096774193549,0.8476190476190475,20,1,9,26
XGBoost,History+Process,All_pairs,56,0.7678571428571429,0.8055555555555556,0.8285714285714286,0.8169014084507042,0.7836734693877552,14,7,6,29
XGBoost,History-only,All_pairs,56,0.8035714285714286,0.8157894736842105,0.8857142857142857,0.8493150684931506,0.8925170068027211,14,7,4,31
