removed_feature
EpdIntensity_min
Gas1Flow_min
Gas3Flow_mean
Gas3Flow_std
Gas3Flow_min
Gas3Flow_max
Gas4Flow_min
Gas5Flow_min
Gas6Flow_mean
Gas6Flow_std
Gas6Flow_min
Gas6Flow_max
Gas8Flow_mean
Gas8Flow_std
Gas8Flow_min
Gas8Flow_max
Heater1Temp_min
Heater1Temp_max
Heater5Temp_mean
Heater5Temp_std
Heater5Temp_min
Heater5Temp_max
Heater6Temp_mean
Heater6Temp_std
Heater6Temp_min
Heater6Temp_max
Heater7Temp_mean
Heater7Temp_std
Heater7Temp_min
Heater7Temp_max
Heater8Temp_mean
Heater8Temp_std
Heater8Temp_min
Heater8Temp_max
PlatenRFLoadPower_min
PlatenRFPeakToPeak_min
PlatenRFReflectedPower_min
SourceRF2LoadCapacitor_mean
SourceRF2LoadCapacitor_std
SourceRF2LoadCapacitor_min
SourceRF2LoadCapacitor_max
SourceRF2LoadPower_mean
SourceRF2LoadPower_std
SourceRF2LoadPower_min
SourceRF2LoadPower_max
SourceRF2PeakToPeak_min
SourceRF2ReflectedPower_mean
SourceRF2ReflectedPower_std
SourceRF2ReflectedPower_min
SourceRF2ReflectedPower_max
SourceRF2TuningCapacitor_min
SourceRF2TuningCapacitor_max
SourceRFLoadCapacitor_mean
SourceRFLoadCapacitor_std
SourceRFLoadCapacitor_min
SourceRFLoadCapacitor_max
SourceRFLoadPower_min
SourceRFPeakToPeak_min
SourceRFReflectedPower_min
SourceRFTuningCapacitor_min
SourceRFTuningCapacitor_max
ThermoCouple1Temp_mean
ThermoCouple1Temp_std
ThermoCouple1Temp_min
ThermoCouple1Temp_max
ThermoCouple2Temp_mean
ThermoCouple2Temp_std
ThermoCouple2Temp_min
ThermoCouple2Temp_max
ThermoCouple3Temp_mean
ThermoCouple3Temp_std
ThermoCouple3Temp_min
ThermoCouple3Temp_max
ThermoCouple4Temp_mean
ThermoCouple4Temp_std
ThermoCouple4Temp_min
ThermoCouple4Temp_max
attenuatorRatio_mean
attenuatorRatio_std
attenuatorRatio_min
attenuatorRatio_max
moriInnerCurrent_min
moriOuterCurrent_mean
moriOuterCurrent_std
moriOuterCurrent_min
moriOuterCurrent_max
