lot_number,conditioning_count,conditioning_surface,current_wafer,next_wafer,prediction_horizon_wafers,pre_alarm_eligible,current_mean_si_etch,next_actual_mean_si_etch,CL,LCL,UCL,current_spc_alarm,current_spc_status,predicted_risk,ai_warning,next_spc_violation,next_actual_status,next_first_spc_alarm,successful_first_alarm_one_step_warning,system_status,warning_result,engineer_action,top1_process,top1_value,top1_shap,top2_process,top2_value,top2_shap,top3_process,top3_value,top3_shap,process_explanation
2,1,Chuck,8,9,1,0,42.96067191011236,43.18773370786516,44.12283540123596,43.59039630200352,44.6552745004684,1,ALARM,0.9287612438201904,True,1,SPC VIOLATION,0,False,SPC ALARM,POST-FIRST-SPC,ENGINEER ACTION REQUIRED,HeliumBPFlow_mean,1.3712492708537969,0.3207711279392242,HeliumBPPressure_min,0.0061037018895149,0.2067728787660598,Heater2Temp_mean,54.00027270286724,0.1912685334682464,"HeliumBPFlow_mean (value=1.3712, SHAP=+0.321) | HeliumBPPressure_min (value=0.0061, SHAP=+0.207) | Heater2Temp_mean (value=54.0003, SHAP=+0.191)"
2,1,Chuck,9,10,1,0,43.18773370786516,43.10430337078652,44.12283540123596,43.59039630200352,44.6552745004684,1,ALARM,0.9454069137573242,True,1,SPC VIOLATION,0,False,SPC ALARM,POST-FIRST-SPC,ENGINEER ACTION REQUIRED,PlatenRFReflectedPower_std,7.635249888286498,0.9116711020469666,HeliumBPFlow_mean,1.4241546162289929,0.2888699471950531,HeliumBPPressure_min,0.0079348124563694,0.1785466521978378,"PlatenRFReflectedPower_std (value=7.6352, SHAP=+0.912) | HeliumBPFlow_mean (value=1.4242, SHAP=+0.289) | HeliumBPPressure_min (value=0.0079, SHAP=+0.179)"
3,9,Chuck,3,4,1,1,44.266009562584266,44.079486308876405,44.11836947966293,43.58593038043048,44.650808578895365,0,NORMAL,0.2225849330425262,False,0,NORMAL,0,False,NORMAL,CORRECT NORMAL,CONTINUE MONITORING,HeliumBPFlow_mean,1.3361366286961012,0.6306173205375671,Gas7Flow_mean,1.9499538089812705,0.2800154089927673,Pressure_min,0.0006000000284984,0.13709357380867,"HeliumBPFlow_mean (value=1.3361, SHAP=+0.631) | Gas7Flow_mean (value=1.9500, SHAP=+0.280) | Pressure_min (value=0.0006, SHAP=+0.137)"
3,9,Chuck,4,5,1,1,44.079486308876405,43.97683269134832,44.11836947966293,43.58593038043048,44.650808578895365,0,NORMAL,0.2413576692342758,False,0,NORMAL,0,False,NORMAL,CORRECT NORMAL,CONTINUE MONITORING,HeliumBPFlow_mean,1.3949445827391136,0.7092741131782532,Gas7Flow_mean,2.0305635675783336,0.2800154089927673,Pressure_min,0.0006000000284984,0.13709357380867,"HeliumBPFlow_mean (value=1.3949, SHAP=+0.709) | Gas7Flow_mean (value=2.0306, SHAP=+0.280) | Pressure_min (value=0.0006, SHAP=+0.137)"
3,9,Chuck,5,6,1,1,43.97683269134832,43.70646829337079,44.11836947966293,43.58593038043048,44.650808578895365,0,NORMAL,0.6688215136528015,True,0,NORMAL,0,False,EARLY WARNING,FALSE EARLY WARNING,ENGINEER REVIEW REQUIRED,HeliumBPFlow_mean,1.3805950917688334,0.8568148016929626,Gas7Flow_mean,2.060122017345518,0.2171212285757064,Pressure_min,0.0006000000284984,0.1294869184494018,"HeliumBPFlow_mean (value=1.3806, SHAP=+0.857) | Gas7Flow_mean (value=2.0601, SHAP=+0.217) | Pressure_min (value=0.0006, SHAP=+0.129)"
3,9,Chuck,6,7,1,1,43.70646829337079,43.58551297651685,44.11836947966293,43.58593038043048,44.650808578895365,0,NORMAL,0.7296637296676636,True,1,SPC VIOLATION,1,True,EARLY WARNING,TRUE EARLY WARNING,ENGINEER REVIEW REQUIRED,HeliumBPFlow_mean,1.4325937437087537,0.8708659410476685,PlatenRFReflectedPower_std,7.550589662376933,0.1980700194835662,Pressure_min,0.0006000000284984,0.1294869184494018,"HeliumBPFlow_mean (value=1.4326, SHAP=+0.871) | PlatenRFReflectedPower_std (value=7.5506, SHAP=+0.198) | Pressure_min (value=0.0006, SHAP=+0.129)"
3,9,Chuck,7,8,1,0,43.58551297651685,43.50429716483146,44.11836947966293,43.58593038043048,44.650808578895365,1,ALARM,0.8093510270118713,True,1,SPC VIOLATION,0,False,SPC ALARM,POST-FIRST-SPC,ENGINEER ACTION REQUIRED,HeliumBPFlow_mean,1.3904398426698157,0.8147837519645691,PlatenRFReflectedPower_std,7.355475308829471,0.206554964184761,Pressure_min,0.0006000000284984,0.1294869184494018,"HeliumBPFlow_mean (value=1.3904, SHAP=+0.815) | PlatenRFReflectedPower_std (value=7.3555, SHAP=+0.207) | Pressure_min (value=0.0006, SHAP=+0.129)"
3,9,Chuck,8,9,1,0,43.50429716483146,43.42807412224719,44.11836947966293,43.58593038043048,44.650808578895365,1,ALARM,0.9201921820640564,True,1,SPC VIOLATION,0,False,SPC ALARM,POST-FIRST-SPC,ENGINEER ACTION REQUIRED,HeliumBPFlow_mean,1.3748630840190197,0.7604469656944275,HeliumBPPressure_min,0.0061037018895149,0.3065445721149444,Gas7Flow_mean,2.041404336057592,0.244983896613121,"HeliumBPFlow_mean (value=1.3749, SHAP=+0.760) | HeliumBPPressure_min (value=0.0061, SHAP=+0.307) | Gas7Flow_mean (value=2.0414, SHAP=+0.245)"
3,9,Chuck,9,10,1,0,43.42807412224719,42.98307262797753,44.11836947966293,43.58593038043048,44.650808578895365,1,ALARM,0.927680730819702,True,1,SPC VIOLATION,0,False,SPC ALARM,POST-FIRST-SPC,ENGINEER ACTION REQUIRED,HeliumBPFlow_mean,1.488707369768807,0.6583296060562134,Gas7Flow_mean,2.030772992527077,0.2659964561462402,PlatenRFReflectedPower_std,7.4408544516611315,0.2097161263227462,"HeliumBPFlow_mean (value=1.4887, SHAP=+0.658) | Gas7Flow_mean (value=2.0308, SHAP=+0.266) | PlatenRFReflectedPower_std (value=7.4409, SHAP=+0.210)"
4,3,Si,3,4,1,1,44.32450595134832,43.998570636404494,44.33190473531835,43.79946563608591,44.8643438345508,0,NORMAL,0.0574611313641071,False,0,NORMAL,0,False,NORMAL,CORRECT NORMAL,CONTINUE MONITORING,HeliumBPFlow_min,0.1269569993019104,0.0848325788974762,Gas7Flow_mean,2.0402816529938126,0.0582369230687618,Pressure_min,0.0006000000284984,0.0148013671860098,"HeliumBPFlow_min (value=0.1270, SHAP=+0.085) | Gas7Flow_mean (value=2.0403, SHAP=+0.058) | Pressure_min (value=0.0006, SHAP=+0.015)"
