metric,value
pre_alarm_samples,28.0
true_positive,5.0
false_positive,6.0
false_negative,3.0
true_negative,14.0
accuracy,0.6785714285714286
precision,0.45454545454545453
recall,0.625
specificity,0.7
f1,0.5263157894736842
balanced_accuracy,0.6625
roc_auc,0.7312500000000001
false_warning_rate,0.3
first_spc_alarm_events,8.0
first_spc_alarm_warned_one_step_ahead,5.0
first_spc_alarm_warning_rate,0.625
risk_threshold,0.5
prediction_horizon_wafers,1.0
