feature_set,evaluation_set,n,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
History+AllProcess,All_pairs,56,0.7678571428571429,0.8055555555555556,0.8285714285714286,0.8169014084507042,0.7836734693877552,14,7,6,29
History+Top10,All_pairs,56,0.75,0.8,0.8,0.8,0.819047619047619,14,7,7,28
History+Top15,All_pairs,56,0.7678571428571429,0.7894736842105263,0.8571428571428571,0.821917808219178,0.8040816326530612,13,8,5,30
History+Top5,All_pairs,56,0.7321428571428571,0.7777777777777778,0.8,0.7887323943661971,0.8081632653061225,13,8,7,28
History-only,All_pairs,56,0.8035714285714286,0.8157894736842105,0.8857142857142857,0.8493150684931506,0.8925170068027211,14,7,4,31
