lot_number,current_wafer,next_wafer,predicted_risk,one_step_prediction,next_actual_mean_si_etch
1,4,5,0.713219940662384,1,43.42659101123596
2,3,4,0.3683985769748688,0,43.42695056179775
3,6,7,0.7296637296676636,1,43.58551297651685
4,5,6,0.3945600092411041,0,43.64391731
5,3,4,0.6050675511360168,1,43.35476853932584
6,5,6,0.1638308316469192,0,43.231184269662926
8,9,10,0.7291824221611023,1,43.21752471910112
9,5,6,0.6086789965629578,1,43.35196179775281
