model,evaluation,n,tn,fp,fn,tp,accuracy,precision,recall,specificity,f1,balanced_accuracy,roc_auc,false_warning_rate
Logistic Regression,All pairs,56,17,4,6,29,0.8214285714285714,0.8787878787878788,0.8285714285714286,0.8095238095238095,0.8529411764705882,0.819047619047619,0.8585034013605441,0.19047619047619047
Random Forest,All pairs,56,16,5,7,28,0.7857142857142857,0.8484848484848485,0.8,0.7619047619047619,0.8235294117647058,0.780952380952381,0.8653061224489795,0.23809523809523808
SVM,All pairs,56,18,3,5,30,0.8571428571428571,0.9090909090909091,0.8571428571428571,0.8571428571428571,0.8823529411764706,0.8571428571428571,0.9306122448979592,0.14285714285714285
XGBoost,All pairs,56,14,7,7,28,0.75,0.8,0.8,0.6666666666666666,0.8,0.7333333333333334,0.819047619047619,0.3333333333333333
