test_lot,lot_number,current_wafer,next_wafer,actual_target,prediction,predicted_risk,pre_alarm_eligible,next_first_spc_alarm,feature,feature_clean,feature_value,shap_value,abs_shap
1,1,5,6,1,1,0.8976715803146362,0,0,current_cv_si_etch,cv_si_etch,0.0808044231785197,0.16414958238601685,0.16414958238601685
1,1,5,6,1,1,0.8976715803146362,0,0,conditioning_count,conditioning_count,3.0,0.0,0.0
1,1,5,6,1,1,0.8976715803146362,0,0,current_Heater2Temp_mean,Heater2Temp_mean,54.412735260639,0.3134918212890625,0.3134918212890625
1,1,5,6,1,1,0.8976715803146362,0,0,current_Gas7Flow_min,Gas7Flow_min,1.940000057220459,0.15375810861587524,0.15375810861587524
1,1,5,6,1,1,0.8976715803146362,0,0,current_Gas7Flow_mean,Gas7Flow_mean,2.056531184655092,0.13520154356956482,0.13520154356956482
1,1,5,6,1,1,0.8976715803146362,0,0,current_PlatenRFReflectedPower_std,PlatenRFReflectedPower_std,8.06046530712927,-0.3976757824420929,0.3976757824420929
1,1,5,6,1,1,0.8976715803146362,0,0,current_moriInnerCurrent_max,moriInnerCurrent_max,10.020752906799316,0.02628464624285698,0.02628464624285698
1,1,5,6,1,1,0.8976715803146362,0,0,current_HeliumBPPressure_min,HeliumBPPressure_min,0.0048829615116119,-0.031867679208517075,0.031867679208517075
1,1,5,6,1,1,0.8976715803146362,0,0,current_HeliumBPFlow_mean,HeliumBPFlow_mean,1.6145042939040428,0.49777910113334656,0.49777910113334656
1,1,5,6,1,1,0.8976715803146362,0,0,current_Gas2Flow_max,Gas2Flow_max,4.340000152587891,0.15286880731582642,0.15286880731582642
1,1,5,6,1,1,0.8976715803146362,0,0,current_ForeLinePressure_min,ForeLinePressure_min,20.44740104675293,0.0,0.0
1,1,5,6,1,1,0.8976715803146362,0,0,current_HeliumBPFlow_max,HeliumBPFlow_max,10.022278785705566,-0.009554657153785229,0.009554657153785229
1,1,5,6,1,1,0.8976715803146362,0,0,conditioning_surface_Chuck,conditioning_surface_Chuck,1.0,0.0,0.0
1,1,5,6,1,1,0.8976715803146362,0,0,conditioning_surface_Si,conditioning_surface_Si,0.0,0.0,0.0
1,1,5,6,1,1,0.8976715803146362,0,0,conditioning_surface_SiO2,conditioning_surface_SiO2,0.0,0.24091120064258575,0.24091120064258575
1,1,8,9,1,1,0.97034752368927,0,0,current_wafer,wafer,8.0,0.8024365305900574,0.8024365305900574
1,1,8,9,1,1,0.97034752368927,0,0,current_mean_si_etch,mean_si_etch,43.09692808988764,0.511407732963562,0.511407732963562
1,1,8,9,1,1,0.97034752368927,0,0,current_std_si_etch,std_si_etch,3.477713183714158,0.0835973247885704,0.0835973247885704
1,1,8,9,1,1,0.97034752368927,0,0,current_cv_si_etch,cv_si_etch,0.0806951524818813,0.14118704199790955,0.14118704199790955
1,1,8,9,1,1,0.97034752368927,0,0,conditioning_count,conditioning_count,3.0,0.0,0.0
1,1,8,9,1,1,0.97034752368927,0,0,current_Heater2Temp_mean,Heater2Temp_mean,54.40539704734011,0.2392035573720932,0.2392035573720932
1,1,8,9,1,1,0.97034752368927,0,0,current_Gas7Flow_min,Gas7Flow_min,1.8899999856948853,0.12957525253295898,0.12957525253295898
1,1,8,9,1,1,0.97034752368927,0,0,current_Gas7Flow_mean,Gas7Flow_mean,2.0187022251169053,0.14158912003040314,0.14158912003040314
1,1,8,9,1,1,0.97034752368927,0,0,current_PlatenRFReflectedPower_std,PlatenRFReflectedPower_std,7.778438055248354,0.2827572226524353,0.2827572226524353
1,1,8,9,1,1,0.97034752368927,0,0,current_moriInnerCurrent_max,moriInnerCurrent_max,10.016724586486816,0.009313803166151047,0.009313803166151047
1,1,8,9,1,1,0.97034752368927,0,0,current_HeliumBPPressure_min,HeliumBPPressure_min,0.0097659230232238,0.32746851444244385,0.32746851444244385
1,1,8,9,1,1,0.97034752368927,0,0,current_HeliumBPFlow_mean,HeliumBPFlow_mean,1.6182242562783131,0.5189093947410583,0.5189093947410583
1,1,8,9,1,1,0.97034752368927,0,0,current_Gas2Flow_max,Gas2Flow_max,4.369999885559082,0.08125278353691101,0.08125278353691101
1,1,8,9,1,1,0.97034752368927,0,0,current_ForeLinePressure_min,ForeLinePressure_min,20.14221572875977,0.0,0.0
1,1,8,9,1,1,0.97034752368927,0,0,current_HeliumBPFlow_max,HeliumBPFlow_max,9.75859832763672,-0.0033117104321718216,0.0033117104321718216
1,1,8,9,1,1,0.97034752368927,0,0,conditioning_surface_Chuck,conditioning_surface_Chuck,1.0,0.0,0.0
1,1,8,9,1,1,0.97034752368927,0,0,conditioning_surface_Si,conditioning_surface_Si,0.0,0.0,0.0
1,1,8,9,1,1,0.97034752368927,0,0,conditioning_surface_SiO2,conditioning_surface_SiO2,0.0,0.24927562475204468,0.24927562475204468
1,1,9,10,1,1,0.9627565741539001,0,0,current_wafer,wafer,9.0,0.8733199238777161,0.8733199238777161
1,1,9,10,1,1,0.9627565741539001,0,0,current_mean_si_etch,mean_si_etch,43.339929213483146,0.5057019591331482,0.5057019591331482
1,1,9,10,1,1,0.9627565741539001,0,0,current_std_si_etch,std_si_etch,3.4895088394683547,0.0835973247885704,0.0835973247885704
1,1,9,10,1,1,0.9627565741539001,0,0,current_cv_si_etch,cv_si_etch,0.0805148716851794,0.11679395288228989,0.11679395288228989
1,1,9,10,1,1,0.9627565741539001,0,0,conditioning_count,conditioning_count,3.0,0.0,0.0
1,1,9,10,1,1,0.9627565741539001,0,0,current_Heater2Temp_mean,Heater2Temp_mean,54.41333924703075,0.17339636385440826,0.17339636385440826
1,1,9,10,1,1,0.9627565741539001,0,0,current_Gas7Flow_min,Gas7Flow_min,1.909999966621399,0.15447013080120087,0.15447013080120087
1,1,9,10,1,1,0.9627565741539001,0,0,current_Gas7Flow_mean,Gas7Flow_mean,2.0772950798364898,-0.11265300959348679,0.11265300959348679
1,1,9,10,1,1,0.9627565741539001,0,0,current_PlatenRFReflectedPower_std,PlatenRFReflectedPower_std,7.487761861836691,0.42807552218437195,0.42807552218437195
1,1,9,10,1,1,0.9627565741539001,0,0,current_moriInnerCurrent_max,moriInnerCurrent_max,10.024781227111816,-0.02190088853240013,0.02190088853240013
1,1,9,10,1,1,0.9627565741539001,0,0,current_HeliumBPPressure_min,HeliumBPPressure_min,0.0054933317005634,0.25276732444763184,0.25276732444763184
1,1,9,10,1,1,0.9627565741539001,0,0,current_HeliumBPFlow_mean,HeliumBPFlow_mean,1.58673647472558,0.4980902075767517,0.4980902075767517
1,1,9,10,1,1,0.9627565741539001,0,0,current_Gas2Flow_max,Gas2Flow_max,4.349999904632568,0.08125278353691101,0.08125278353691101
1,1,9,10,1,1,0.9627565741539001,0,0,current_ForeLinePressure_min,ForeLinePressure_min,20.14221572875977,0.0,0.0
1,1,9,10,1,1,0.9627565741539001,0,0,current_HeliumBPFlow_max,HeliumBPFlow_max,9.9002046585083,-0.0033117104321718216,0.0033117104321718216
1,1,9,10,1,1,0.9627565741539001,0,0,conditioning_surface_Chuck,conditioning_surface_Chuck,1.0,0.0,0.0
1,1,9,10,1,1,0.9627565741539001,0,0,conditioning_surface_Si,conditioning_surface_Si,0.0,0.0,0.0
1,1,9,10,1,1,0.9627565741539001,0,0,conditioning_surface_SiO2,conditioning_surface_SiO2,0.0,0.24927562475204468,0.24927562475204468
2,2,3,4,1,0,0.3683985769748688,1,1,current_wafer,wafer,3.0,-0.9399818778038025,0.9399818778038025
2,2,3,4,1,0,0.3683985769748688,1,1,current_mean_si_etch,mean_si_etch,43.95148597898877,-0.0819409191608429,0.0819409191608429
2,2,3,4,1,0,0.3683985769748688,1,1,current_std_si_etch,std_si_etch,3.547390219150668,0.34495413303375244,0.34495413303375244
2,2,3,4,1,0,0.3683985769748688,1,1,current_cv_si_etch,cv_si_etch,0.0807114967818497,0.07508304715156555,0.07508304715156555
2,2,3,4,1,0,0.3683985769748688,1,1,conditioning_count,conditioning_count,1.0,0.0,0.0
2,2,3,4,1,0,0.3683985769748688,1,1,current_Heater2Temp_mean,Heater2Temp_mean,54.02975041630601,0.20786148309707642,0.20786148309707642
2,2,3,4,1,0,0.3683985769748688,1,1,current_PlatenRFReflectedPower_std,PlatenRFReflectedPower_std,7.843154389369266,0.013519139029085636,0.013519139029085636
2,2,3,4,1,0,0.3683985769748688,1,1,current_SourceRFReflectedPower_mean,SourceRFReflectedPower_mean,137.88362378913888,-0.25847694277763367,0.25847694277763367
2,2,3,4,1,0,0.3683985769748688,1,1,current_HeliumBPPressure_min,HeliumBPPressure_min,0.0,-0.14619150757789612,0.14619150757789612
2,2,3,4,1,0,0.3683985769748688,1,1,current_Gas7Flow_min,Gas7Flow_min,1.919999957084656,0.02186877839267254,0.02186877839267254
2,2,3,4,1,0,0.3683985769748688,1,1,current_Gas7Flow_mean,Gas7Flow_mean,2.045220163039585,0.15452291071414948,0.15452291071414948
2,2,3,4,1,0,0.3683985769748688,1,1,current_HeliumBPFlow_mean,HeliumBPFlow_mean,1.449203053170951,0.291083961725235,0.291083961725235
2,2,3,4,1,0,0.3683985769748688,1,1,current_PlatenRFTuningCapacitor_std,PlatenRFTuningCapacitor_std,3.94044181649956,-0.11433358490467072,0.11433358490467072
2,2,3,4,1,0,0.3683985769748688,1,1,current_PlatenRFLoadCapacitor_min,PlatenRFLoadCapacitor_min,7.818841934204102,0.0,0.0
2,2,3,4,1,0,0.3683985769748688,1,1,current_HeliumBPFlow_max,HeliumBPFlow_max,9.717093467712402,-0.02446994185447693,0.02446994185447693
2,2,3,4,1,0,0.3683985769748688,1,1,conditioning_surface_Chuck,conditioning_surface_Chuck,1.0,0.0,0.0
2,2,3,4,1,0,0.3683985769748688,1,1,conditioning_surface_Si,conditioning_surface_Si,0.0,-0.156117781996727,0.156117781996727
2,2,3,4,1,0,0.3683985769748688,1,1,conditioning_surface_SiO2,conditioning_surface_SiO2,0.0,0.14638875424861908,0.14638875424861908
2,2,4,5,1,0,0.46172282099723816,0,0,current_wafer,wafer,4.0,-1.059897780418396,1.059897780418396
2,2,4,5,1,0,0.46172282099723816,0,0,current_mean_si_etch,mean_si_etch,43.42695056179775,0.2761673629283905,0.2761673629283905
2,2,4,5,1,0,0.46172282099723816,0,0,current_std_si_etch,std_si_etch,3.466730713088856,0.31015121936798096,0.31015121936798096
2,2,4,5,1,0,0.46172282099723816,0,0,current_cv_si_etch,cv_si_etch,0.0798290155822846,0.08237043768167496,0.08237043768167496
2,2,4,5,1,0,0.46172282099723816,0,0,conditioning_count,conditioning_count,1.0,0.0,0.0
2,2,4,5,1,0,0.46172282099723816,0,0,current_Heater2Temp_mean,Heater2Temp_mean,54.006337363044736,0.20786148309707642,0.20786148309707642
2,2,4,5,1,0,0.46172282099723816,0,0,current_PlatenRFReflectedPower_std,PlatenRFReflectedPower_std,8.09242695750964,-0.49241316318511963,0.49241316318511963
2,2,4,5,1,0,0.46172282099723816,0,0,current_SourceRFReflectedPower_mean,SourceRFReflectedPower_mean,142.03357044098647,0.15069907903671265,0.15069907903671265
2,2,4,5,1,0,0.46172282099723816,0,0,current_HeliumBPPressure_min,HeliumBPPressure_min,0.0061037018895149,0.18388114869594574,0.18388114869594574
2,2,4,5,1,0,0.46172282099723816,0,0,current_Gas7Flow_min,Gas7Flow_min,1.8899999856948853,0.014489943161606789,0.014489943161606789
2,2,4,5,1,0,0.46172282099723816,0,0,current_Gas7Flow_mean,Gas7Flow_mean,2.0499484090460944,0.11310244351625443,0.11310244351625443
2,2,4,5,1,0,0.46172282099723816,0,0,current_HeliumBPFlow_mean,HeliumBPFlow_mean,1.5067659976122378,0.2617865204811096,0.2617865204811096
