baseline_definition,baseline_n,lot_number,first_monitor_wafer,baseline_mean,pooled_sigma,LCL,UCL,first_spc_alarm_wafer,first_alarm_mean_si_etch,n_post_baseline_wafers,n_spc_violations
W1-W2,2,1,3,44.16393876404494,0.2141145311637883,43.521595170553574,44.80628235753631,5.0,43.42659101123596,7,4
W1-W2,2,2,3,44.208510112359555,0.2141145311637883,43.56616651886819,44.85085370585092,4.0,43.42695056179775,8,7
W1-W2,2,3,3,44.044549438202246,0.2141145311637883,43.40220584471088,44.686893031693614,10.0,42.98307262797753,8,1
W1-W2,2,4,3,44.33560412730337,0.2141145311637883,43.693260533812,44.97794772079474,6.0,43.64391731,8,5
W1-W2,2,5,3,44.013288764044944,0.2141145311637883,43.370945170553576,44.65563235753631,4.0,43.35476853932584,8,5
W1-W2,2,6,3,43.97362584269663,0.2141145311637883,43.33128224920526,44.615969436187996,6.0,43.231184269662926,8,5
W1-W2,2,7,3,43.97098146067415,0.2141145311637883,43.328637867182785,44.61332505416552,,,4,0
W1-W2,2,8,3,43.82032029865168,0.2141145311637883,43.17797670516031,44.46266389214305,,,8,0
W1-W2,2,9,3,44.33399550561798,0.2141145311637883,43.69165191212661,44.976339099109346,6.0,43.35196179775281,7,4
W1-W2,2,10,3,44.17359325842697,0.2141145311637883,43.5312496649356,44.81593685191834,,,2,0
W1-W3,3,1,4,44.15916704119851,0.17747969974414624,43.62672794196607,44.69160614043095,5.0,43.42659101123596,6,5
W1-W3,3,2,4,44.12283540123596,0.17747969974414624,43.59039630200352,44.6552745004684,4.0,43.42695056179775,7,7
W1-W3,3,3,4,44.118369479662924,0.17747969974414624,43.58593038043048,44.650808578895365,7.0,43.58551297651685,7,4
W1-W3,3,4,4,44.33190473531835,0.17747969974414624,43.79946563608591,44.864343834550795,6.0,43.64391731,7,5
W1-W3,3,5,4,43.96169288389513,0.17747969974414624,43.42925378466269,44.49413198312757,4.0,43.35476853932584,7,6
W1-W3,3,6,4,44.00474981273408,0.17747969974414624,43.47231071350164,44.537188911966524,6.0,43.231184269662926,7,5
W1-W3,3,7,4,43.87698951310861,0.17747969974414624,43.34455041387617,44.40942861234105,,,3,0
W1-W3,3,8,4,43.785356229063666,0.17747969974414624,43.252917129831225,44.31779532829611,10.0,43.21752471910112,7,1
W1-W3,3,9,4,44.28895805243445,0.17747969974414624,43.75651895320201,44.82139715166689,6.0,43.35196179775281,6,4
W1-W3,3,10,4,44.16679363295881,0.17747969974414624,43.634354533726366,44.69923273219125,,,1,0
W1-W4,4,1,5,44.09569915730337,0.2283819535292829,43.41055329671552,44.780845017891224,8.0,43.09692808988764,5,3
W1-W4,4,2,5,43.94886419137641,0.2283819535292829,43.263718330788556,44.63401005196426,8.0,42.96067191011236,6,3
W1-W4,4,3,5,44.10864868696629,0.2283819535292829,43.42350282637844,44.79379454755414,10.0,42.98307262797753,6,1
W1-W4,4,4,5,44.24857121058989,0.2283819535292829,43.563425350002035,44.93371707117774,7.0,43.214110956853936,6,4
W1-W4,4,5,5,43.80996179775281,0.2283819535292829,43.12481593716496,44.495107658340665,10.0,43.02462584269663,6,1
W1-W4,4,6,5,43.97721685393259,0.2283819535292829,43.29207099334474,44.66236271452044,6.0,43.231184269662926,6,4
W1-W4,4,7,5,43.8479904494382,0.2283819535292829,43.16284458885035,44.53313631002605,,,2,0
W1-W4,4,8,5,43.79718908191011,0.2283819535292829,43.11204322132226,44.482334942497964,,,6,0
W1-W4,4,9,5,44.21147162921348,0.2283819535292829,43.526325768625625,44.89661748980133,6.0,43.35196179775281,5,4
W1-W4,4,10,5,44.09064399823034,0.2283819535292829,43.40549813764249,44.77578985881819,,,0,0
